CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE,,,CAR_ID,CAR_NAME,CAR_MAKER,CAR_MAKE_YEAR,CAR_PRICE
320,A595952402,2,159114,2023-03-07,,,A468883603,Savana 2500,GMC,2012,51185
321,P236689160,24,1164528,2023-08-14,,,J239240302,Skyhawk,Buick,1985,93003
322,Y944324666,7,626500,2023-11-12,,,H571457057,Civic,Honda,2006,51473
323,F158695430,19,956688,2023-05-16,,,S253336412,240SX,Nissan,1997,98043
324,V245404749,29,2289289,2023-02-05,,,Z936649926,xB,Scion,2006,89360
325,X488056880,27,604449,2023-05-25,,,H957206787,Lumina,Chevrolet,1992,83808
326,W239757852,22,1090078,2023-09-18,,,N259778916,Eurovan,Volkswagen,1999,9920
327,W415476513,8,51072,2023-01-19,,,U496952703,9-7X,Saab,2008,27978
328,A731878913,5,399995,2023-08-05,,,V163912878,Express 2500,Chevrolet,2010,14868
329,Q112016639,30,936120,2023-04-22,,,B863206560,Savana 2500,GMC,1996,3556
330,N975393626,2,68086,2023-11-14,,,U129684275,1500 Club Coupe,GMC,1992,51072
331,I506707088,4,46328,2023-01-02,,,C684914266,Milan,Mercury,2011,17164
332,E499740364,6,479310,2023-01-10,,,R357513591,F-Series,Ford,1989,3611
333,Z048319165,16,646160,2023-02-01,,,B089717170,Mini Cooper,Austin,1964,49531
334,W801761065,21,1846299,2023-12-16,,,V713206780,Beretta,Chevrolet,1992,35237
335,V602852900,4,367520,2023-09-20,,,O903560195,G,Infiniti,2001,55717
336,C687774164,10,678470,2023-08-17,,,R538283140,612 Scaglietti,Ferrari,2010,12605
337,G822912920,30,2139060,2023-08-22,,,R491904061,Savana 2500,GMC,2012,29883
338,W280805842,5,199065,2023-09-01,,,Y141924972,Ram 1500,Dodge,2002,65288
339,R045212163,1,15789,2023-02-04,,,Y342036938,Astro,Chevrolet,1994,84348
340,E439214140,22,1739254,2023-05-02,,,J643585567,New Beetle,Volkswagen,2002,73166
341,Q640027190,18,796806,2023-03-28,,,D348188468,Freelander,Land Rover,2003,15895
342,C122385066,28,2606100,2023-10-30,,,S806187736,Explorer Sport Trac,Ford,2010,80492
343,O787758959,17,1244145,2023-06-13,,,U407582858,Aerio,Suzuki,2005,94101
344,P797498994,4,264488,2023-02-13,,,L424845602,Relay,Saturn,2006,39084
345,T534927324,21,1075473,2023-12-29,,,C303397977,940,Volvo,1994,8333
346,U409952614,22,819764,2023-02-14,,,E439425680,Sedona,Kia,2003,92791
347,S426674954,28,799148,2023-06-23,,,F998633996,S4,Audi,2000,94058
348,C985836169,21,286062,2023-07-10,,,F895991476,MX-3,Mazda,1993,63751
349,Z027365999,3,69108,2023-11-04,,,O002990821,Concorde,Chrysler,1997,90109
350,N330988361,13,77701,2023-04-12,,,V126584428,Grand Cherokee,Jeep,1996,14708
351,H361190830,11,568469,2023-04-10,,,Q374268086,944,Porsche,1989,44510
352,S390408908,1,18992,2023-07-25,,,C486762080,Liberty,Jeep,2003,86240
353,U793064742,10,963780,2023-08-13,,,W944536769,Silverado,Chevrolet,2002,15873
354,Q933955346,29,1736694,2023-09-04,,,L841689506,W201,Mercedes-Benz,1987,14047
355,W336315175,3,296385,2023-03-20,,,F582803310,Spectra,Kia,2006,70508
356,G822912920,5,356510,2023-02-17,,,A327295656,Electra,Buick,1990,96741
357,S795721496,25,1377000,2023-09-18,,,W319274254,Esprit,Lotus,1994,95525
358,X488056880,7,156709,2023-06-09,,,Q554464601,Econoline E250,Ford,2001,22362
359,B970071055,22,1674112,2023-10-25,,,O771496263,E150,Ford,2008,57966
360,L535485122,25,565925,2023-10-26,,,R479335556,E-Series,Ford,2012,4879
361,R063315992,23,487715,2023-01-15,,,B329912694,Savana 3500,GMC,2004,52735
362,T629832223,6,277338,2023-09-16,,,P758063670,62,Maybach,2007,89212
363,C303397977,24,199992,2023-05-23,,,L320696214,Tahoe,Chevrolet,2013,45075
364,Y784340727,8,94984,2023-07-27,,,F767371153,Accent,Hyundai,2012,81887
365,F704711829,12,701580,2023-08-28,,,K768066628,Hombre Space,Isuzu,1998,10938
366,V030398847,8,622992,2023-07-22,,,B682141748,DeVille,Cadillac,2004,82143
367,J848860027,9,437526,2023-11-22,,,X841782720,Safari,GMC,1993,92535
368,P641482926,30,1613130,2023-07-08,,,C647821765,Frontier,Nissan,2001,84350
369,H956117274,23,1597902,2023-02-05,,,H432363561,Forester,Subaru,2009,11117
370,H850272407,21,1070181,2023-04-01,,,C081665282,Express,Chevrolet,2009,99042
371,W681083986,28,2355472,2023-03-11,,,S155909356,RL,Acura,2010,8972
372,Z917939740,15,891570,2023-02-09,,,L729285254,Malibu,Chevrolet,2007,9563
373,F167425315,22,386562,2023-07-02,,,J487303391,Ram 3500,Dodge,2005,20022
374,M848371534,28,1573348,2023-11-15,,,F457700505,Impreza,Subaru,2000,22975
375,O958631113,10,387240,2023-01-08,,,N551986542,626,Mazda,1991,79970
376,N526060534,11,130482,2023-05-09,,,O883081970,Range Rover,Land Rover,2010,6796
377,C504837061,19,1147695,2023-12-14,,,H157917992,Sentra,Nissan,2007,80767
378,G930346104,4,148768,2023-12-26,,,E455667323,Solara,Toyota,2004,36059
379,Y692860867,8,608712,2023-11-18,,,S707572184,Q,Infiniti,2003,80325
380,K675118973,2,14132,2023-04-08,,,L597122875,MGB,MG,1977,88944
381,W976944973,5,163920,2023-02-08,,,J791418503,Firebird,Pontiac,1985,54363
382,W245969928,19,1153281,2023-09-28,,,V617712197,C70,Volvo,2011,59752
383,N357761145,15,1115340,2023-10-27,,,R324526142,E-Class,Mercedes-Benz,2011,53329
384,C661008057,9,574461,2023-04-09,,,K302758235,F150,Ford,2007,91692
385,O513345910,25,696475,2023-12-08,,,K941882496,Journey,Dodge,2009,29855
386,K302758235,3,275076,2023-10-21,,,I073196826,Grand Prix,Pontiac,1972,14633
387,K675118973,12,84792,2023-12-27,,,D329619475,Celica,Toyota,1993,8328
388,I742402077,26,2027298,2023-04-04,,,R488380566,Spectra,Kia,2003,36342
389,O958631113,4,154896,2023-02-07,,,A015230780,M5,BMW,2002,49830
390,Y141924972,20,1305760,2023-06-03,,,W419312518,B-Series,Mazda,1987,61302
391,L792975340,23,453445,2023-07-02,,,G988240777,Sebring,Chrysler,1999,89309
392,W481618149,6,125928,2023-06-20,,,J430982474,Model T,Ford,1909,32241
393,Q753858224,21,1830507,2023-08-02,,,A659737920,Contour,Ford,1999,18706
394,O271066400,24,891528,2023-07-26,,,K863150356,3500,GMC,1997,37369
395,B405089269,27,2590920,2023-04-19,,,O154986055,GS,Lexus,2010,94233
396,N380701156,4,377368,2023-08-19,,,X460676864,Expedition,Ford,2006,49199
397,S255811793,6,74574,2023-04-09,,,O482969425,4Runner,Toyota,2008,41353
398,C501309417,19,615163,2023-12-08,,,X536101175,Amigo,Isuzu,1994,7912
399,G263512451,22,1773552,2023-10-13,,,I742402077,Monte Carlo,Chevrolet,1997,77973
400,W915705828,15,950730,2023-09-21,,,O254429620,F250,Ford,2008,27908
401,G061880603,8,347992,2023-08-27,,,O126363356,Escalade,Cadillac,2005,13523
402,G555470524,30,1537320,2023-06-23,,,O777554985,S5,Audi,2011,83844
403,F173403811,8,248352,2023-06-26,,,W775903896,Monte Carlo,Chevrolet,1995,15186
404,N041606838,18,704808,2023-03-14,,,O706717498,Q,Infiniti,1994,16518
405,D104907146,27,449847,2023-11-11,,,E237993517,911,Porsche,2004,43925
406,Z298650762,19,145711,2023-04-05,,,Q892763697,M3,BMW,1996,18169
407,E612715986,8,382592,2023-04-19,,,K432300765,Defender 90,Land Rover,1995,8286
408,T037773970,26,129506,2023-10-11,,,C291173995,Voyager,Plymouth,1993,22192
409,V287280216,22,1461416,2023-11-02,,,P511871292,Accord,Honda,1990,70431
410,C278445126,25,2291900,2023-10-19,,,B674020968,Express 2500,Chevrolet,2005,77680
411,H625764902,18,1733598,2023-11-22,,,G123356987,Grand Prix,Pontiac,1985,35524
412,R599842961,11,442134,2023-12-22,,,O109792584,Intrepid,Dodge,2004,86820
413,B863206560,11,39116,2023-11-14,,,C099196148,300,Chrysler,2005,88359
414,M354903096,30,303420,2023-07-22,,,L840061218,Passport,Honda,1999,96169
415,U480695741,10,359990,2023-08-18,,,C010521463,Th!nk,Ford,2002,31039
416,T186807809,9,360675,2023-03-09,,,S390408908,Sparrow,Corbin,1999,18992
417,N588786186,7,584955,2023-03-01,,,D526812125,Silverado,Chevrolet,1999,4954
418,P236689160,17,824874,2023-06-29,,,A645377572,Q,Infiniti,2000,48949
419,A503624634,22,446710,2023-12-05,,,C670209583,Topaz,Mercury,1984,70891
420,P897836561,22,1581888,2023-08-16,,,G791421681,Sportage,Kia,2008,86696
421,Y531854286,2,180812,2023-05-18,,,H235118214,Tracker,Chevrolet,2001,58081
422,Z348789000,6,297054,2023-03-21,,,K956424091,Vision,Eagle,1997,25528
423,V067743277,3,297198,2023-04-16,,,X804421918,V70,Volvo,2002,25612
424,P599487816,1,26582,2023-08-24,,,U750243814,Freelander,Land Rover,2010,88192
425,K525466793,10,994380,2023-03-02,,,Z298650762,SVX,Subaru,1997,7669
426,T343341005,3,257583,2023-06-21,,,N250087252,NSX,Acura,2003,78516
427,Q707393868,5,350285,2023-09-08,,,P783213929,9000,Saab,1989,24242
428,R997976567,22,1305172,2023-11-02,,,L051140613,M6,BMW,2008,25900
429,J084575704,14,1389808,2023-12-07,,,V245404749,Fiero,Pontiac,1988,78941
430,L297770115,26,41210,2023-12-06,,,E710199367,Econoline E250,Ford,1995,92285
431,J848860027,13,631982,2023-04-14,,,Q112016639,CL-Class,Mercedes-Benz,2007,31204
432,B983913043,30,1980630,2023-09-07,,,F335789993,Voyager,Plymouth,1997,47115
433,B089717170,12,594372,2023-07-10,,,V877337082,Rabbit,Volkswagen,2006,21304
434,V549103886,10,664060,2023-05-22,,,J834892150,Silhouette,Oldsmobile,1998,99605
435,J430982474,6,193446,2023-12-15,,,U550239598,Camry Hybrid,Toyota,2008,78806
436,E962969762,8,390416,2023-06-22,,,J060439630,Corvette,Chevrolet,1962,4651
437,H235118214,25,1452025,2023-04-16,,,R997976567,Eos,Volkswagen,2012,59326
438,S806187736,29,2334268,2023-06-25,,,Y937472721,928,Porsche,1987,25682
439,E018566127,7,371875,2023-03-25,,,B233350213,Alcyone SVX,Subaru,1993,1528
440,R157835570,21,1536129,2023-05-23,,,L491814633,1500 Club Coupe,GMC,1996,82100
441,A731878913,24,1919976,2023-08-13,,,I966527332,Prius v,Toyota,2012,75048
442,R897366680,29,940354,2023-01-23,,,P635231862,3 Series,BMW,2009,52469
443,W706622358,23,1532145,2023-08-28,,,Y641628884,1500 Club Coupe,GMC,1994,79719
444,J195103144,12,1065348,2023-05-20,,,H508104329,Cutlass Supreme,Oldsmobile,1997,12049
445,Y531854286,3,271218,2023-12-08,,,Q766971885,Safari,Pontiac,1989,34946
446,I860476817,20,1409580,2023-06-27,,,K824575389,DeVille,Cadillac,2001,56787
447,E710199367,22,2030270,2023-09-02,,,K675118973,Equinox,Chevrolet,2005,7066
448,I073196826,17,248761,2023-10-23,,,T007675122,Eclipse,Mitsubishi,2002,82802
449,X581279438,29,2149045,2023-01-14,,,Z048319165,Z3,BMW,1997,40385
450,Y977661223,1,76403,2023-09-27,,,N357761145,Sable,Mercury,1999,74356
451,F664920040,4,362280,2023-06-28,,,T185690918,Ranger,Ford,2000,38652
452,S864116125,17,426785,2023-03-12,,,W571513240,Firebird,Pontiac,1996,84091
453,U407582858,1,94101,2023-07-15,,,R588450315,Liberty,Jeep,2011,12260
454,P222000440,2,45390,2023-02-08,,,P626455908,Exige,Lotus,2004,16688
455,J084575704,15,1489080,2023-06-14,,,H496087259,600,BMW,1959,7448
456,W801761065,16,1406704,2023-03-29,,,G822912920,Range Rover,Land Rover,1999,71302
457,G055573166,5,174150,2023-09-07,,,X696305223,CTS,Cadillac,2007,87897
458,K470892417,4,68208,2023-03-15,,,B926164119,Shadow,Dodge,1994,86666
459,X007877659,9,93537,2023-08-01,,,I911549650,A6,Audi,2009,26874
460,D825382288,14,843192,2023-09-13,,,M929043723,Sable,Mercury,2005,74714
461,Q640027190,4,177068,2023-11-04,,,P713807057,Century,Buick,1999,40457
462,X612165920,25,110150,2023-10-01,,,O325583932,Frontier,Nissan,2011,38189
463,U846505376,12,208704,2023-07-23,,,D695678553,626,Mazda,2002,87076
464,P631023343,27,34884,2023-04-20,,,H411605976,Bonneville,Pontiac,1988,76822
465,W419312518,28,1716456,2023-06-24,,,P829129866,Avalon,Toyota,1998,98491
466,W890859975,20,1104600,2023-05-23,,,L306953388,GT-R,Nissan,2010,2272
467,F767371153,3,245661,2023-12-05,,,H529868855,Precis,Mitsubishi,1994,95387
468,A825837067,4,276784,2023-02-13,,,A731829634,S8,Audi,2002,85579
469,Y531854286,28,2531368,2023-08-16,,,C484508960,Altima,Nissan,1998,26470
470,T273879949,28,1133832,2023-03-15,,,V976011513,GS,Lexus,1994,88306
471,G324648022,23,1633023,2023-04-08,,,W648466726,XJ,Jaguar,2006,93197
472,O434938265,18,485784,2023-07-04,,,E612715986,Probe,Ford,1996,47824
473,Q794367626,24,1304544,2023-09-14,,,H307902379,H3,Hummer,2008,93119
474,B777474272,24,1343928,2023-03-25,,,H594819058,Ram 3500,Dodge,2007,98487
475,S027552319,30,1372410,2023-11-17,,,E018566127,626,Mazda,1993,53125
476,G263512451,10,806160,2023-05-06,,,C804462955,Passat,Volkswagen,1985,80477
477,B289673893,19,990641,2023-01-09,,,B289673893,7 Series,BMW,2008,52139
478,J853207340,11,671275,2023-07-09,,,X775257222,Civic,Honda,2002,28989
479,C647998314,6,503610,2023-08-23,,,P702142151,Cabriolet,Volkswagen,1988,77845
480,X612165920,11,48466,2023-04-29,,,N903170547,XL-7,Suzuki,2008,59296
481,L144390657,30,1245930,2023-12-08,,,T840592413,RAV4,Toyota,2006,41114
482,G123356987,28,994672,2023-11-06,,,B053739247,Suburban 2500,Chevrolet,2005,39847
483,T302157461,8,274552,2023-07-02,,,Q549170856,Cougar,Mercury,1992,21826
484,W801761065,17,1494623,2023-10-08,,,V982691755,Corvette,Chevrolet,1960,2635
485,Y937472721,15,385230,2023-02-26,,,B633357219,MX-5,Mazda,2012,99051
486,W516605514,9,494640,2023-05-22,,,F158695430,Compass,Jeep,2010,50352
487,D566525219,29,1573714,2023-10-01,,,Y977661223,Safari,GMC,2005,76403
488,Z488013552,3,95259,2023-06-16,,,J717523165,Rio,Kia,2008,66952
489,X131735671,2,72054,2023-10-07,,,Y087442545,Mazda3,Mazda,2010,89850
490,O630529849,10,998960,2023-12-05,,,T538134172,525,BMW,2003,36433
491,Z900456153,19,1090581,2023-05-14,,,M059209480,Avalanche 1500,Chevrolet,2006,72373
492,F650068521,15,614520,2023-05-08,,,X131735671,Cavalier,Chevrolet,1993,36027
493,L479407622,11,266002,2023-12-28,,,Y097038117,Aerostar,Ford,1988,28361
494,N883254755,25,2381450,2023-11-18,,,U989032654,Sportage,Kia,2006,13411
495,C804462955,8,643816,2023-03-30,,,P969062313,Mark VIII,Lincoln,1998,90172
496,N147457289,18,1002528,2023-04-13,,,T058595213,Mighty Max,Mitsubishi,1993,69451
497,X963788906,23,1893659,2023-11-13,,,C607133546,Expedition EL,Ford,2009,9018
498,L463133351,4,37748,2023-10-06,,,S082131198,Freelander,Land Rover,2010,98731
499,M059209480,22,1592206,2023-11-05,,,P926378923,Savana 2500,GMC,2007,66750
500,W825671125,19,665076,2022-04-25,,,E599401013,Xterra,Nissan,2004,80800
501,G055573166,27,940410,2022-09-24,,,Z647822266,T100 Xtra,Toyota,1998,49149
502,L485522619,17,714646,2022-06-03,,,V115176557,SL-Class,Mercedes-Benz,1989,85505
503,V091858224,19,261022,2022-06-15,,,G440036261,QX,Infiniti,2003,64006
504,O684748006,2,81672,2022-03-11,,,Z283537233,745,BMW,2004,11206
505,Y087442545,21,1886850,2022-07-29,,,J011162461,Seville,Cadillac,2003,72447
506,M349682280,9,808119,2022-08-02,,,K250056740,3000GT,Mitsubishi,1995,53400
507,I073196826,15,219495,2022-11-21,,,J417217157,Ram 3500,Dodge,1996,94909
508,S390408908,4,75968,2022-10-21,,,Q282546560,XK Series,Jaguar,2005,46872
509,P752852630,25,409275,2022-04-16,,,J522521405,Sunfire,Pontiac,1995,81772
510,D825382288,5,301140,2022-03-08,,,U195532449,Equinox,Chevrolet,2010,92276
511,K824575389,27,1533249,2022-06-23,,,D747181561,Clubman,MINI,2008,85934
512,G306245598,21,1950354,2022-12-22,,,A352005209,Loyale,Subaru,1991,39892
513,K963308401,13,939523,2022-01-27,,,W311612598,W201,Mercedes-Benz,1987,70760
514,L597122875,22,1956768,2022-10-17,,,Y510598413,Continental GT,Bentley,2007,68361
515,W889091680,11,198044,2022-03-28,,,B384903275,Prizm,Chevrolet,2001,54771
516,C122385066,21,1954575,2022-09-04,,,X963788906,S-Class,Mercedes-Benz,2004,82333
517,K941882496,9,268695,2022-05-19,,,R549345070,Golf,Volkswagen,1997,27513
518,E599401013,28,2262400,2022-01-08,,,P598605230,Sparrow,Corbin,2004,85794
519,P672953430,2,13260,2022-05-21,,,V087840460,Raider,Mitsubishi,2007,86579
520,R882412954,18,750168,2022-10-29,,,B254108403,Corvette,Chevrolet,1994,86447
521,R599842961,19,763686,2022-06-14,,,S041543497,Malibu,Chevrolet,2007,90320
522,G901807390,25,2197900,2022-05-20,,,U711736928,tC,Scion,2007,80707
523,E619219917,7,196959,2022-03-28,,,K436483658,Club Wagon,Ford,1994,32718
524,B053739247,12,478164,2022-11-28,,,I019914614,ZDX,Acura,2012,6188
525,A382490538,10,669380,2022-04-19,,,A731878913,Trooper,Isuzu,2001,79999
526,Q554464601,28,626136,2022-03-17,,,M349682280,Tacoma,Toyota,1996,89791
527,W038984427,3,257607,2022-07-08,,,L636418777,E-Class,Mercedes-Benz,1989,88043
528,Z936649926,13,1161680,2022-10-03,,,O450804669,F150,Ford,2002,38590
529,R549345070,6,165078,2022-12-23,,,I034253576,ZX2,Ford,2001,64840
530,B607537518,6,447042,2022-07-08,,,A452880887,Santa Fe,Hyundai,2003,13117
531,V680613595,27,1780299,2022-04-24,,,H866453209,Rally Wagon 2500,GMC,1993,52499
532,E499740364,9,718965,2022-07-07,,,N883254755,Eclipse,Mitsubishi,2012,95258
533,Y141924972,13,848744,2022-09-01,,,I941332437,Century,Buick,1998,8748
534,R243342353,7,13538,2022-04-09,,,N070533190,Armada,Nissan,2009,22002
535,A010767385,1,15030,2022-05-06,,,G245179103,S40,Volvo,2011,3540
536,B384903275,2,109542,2022-06-30,,,T629832223,QX,Infiniti,2003,46223
537,O482969425,8,330824,2022-04-01,,,Z835518442,S10,Chevrolet,2000,66823
538,Y169975239,9,73278,2022-01-19,,,P942578899,Eurovan,Volkswagen,2003,71255
539,S207311845,10,947410,2022-08-08,,,H850272407,Montana SV6,Pontiac,2006,50961
540,C264312257,20,1100920,2022-06-17,,,W090400634,Kizashi,Suzuki,2010,16715
541,E033775266,29,2537906,2022-12-30,,,O458732744,Rio,Kia,2004,68444
542,K941882496,21,626955,2022-02-12,,,J560658148,Rodeo,Isuzu,1996,37659
543,A659737920,30,561180,2022-09-17,,,Z348789000,C30,Volvo,2011,49509
544,C824880525,4,60888,2022-07-11,,,V649487358,525,BMW,2003,73606
545,U711736928,23,1856261,2022-02-27,,,P641482926,Passat,Volkswagen,1992,53771
546,H361190830,15,775185,2022-03-02,,,I860476817,Regal,Buick,2000,70479
547,V010582306,11,819797,2022-03-13,,,E650113547,Camry Solara,Toyota,2007,47733
548,S993709882,9,486999,2022-03-05,,,B514121037,Forenza,Suzuki,2007,97567
549,P391192927,7,492240,2022-03-25,,,W921745407,Express 2500,Chevrolet,2009,93568
550,G163009033,24,1781760,2022-02-15,,,Q707393868,Safari,GMC,1992,70057
551,F012873004,10,93120,2022-11-07,,,C501309417,Caravan,Dodge,2011,32377
552,E084008933,2,120380,2022-11-14,,,G061880603,Xterra,Nissan,2001,43499
553,N392819870,29,2766020,2022-11-21,,,I006383636,Cirrus,Chrysler,1999,15457
554,A644157470,16,1083776,2022-02-11,,,Q694083292,Grand Cherokee,Jeep,1999,87905
555,B443820780,4,26200,2022-04-17,,,M194680066,Tempo,Ford,1984,17768
556,B053739247,19,757093,2022-01-03,,,P993704205,IS,Lexus,2007,24607
557,J717523165,12,803424,2022-01-03,,,Q631063254,XF,Jaguar,2012,71890
558,P598605230,25,2144850,2022-01-02,,,L144390657,Freestyle,Ford,2005,41531
559,L527089852,19,1443677,2022-11-12,,,B929855657,Silhouette,Oldsmobile,1999,44132
560,W890859975,6,331380,2022-02-11,,,C894196951,Rio,Kia,2013,99671
561,T395317199,1,7883,2022-05-19,,,B211972168,M3,BMW,1999,69061
562,F895991476,6,382506,2022-10-16,,,E608115249,SJ,Suzuki,1993,15132
563,K967283819,10,207840,2022-08-01,,,G768792448,Villager,Mercury,1993,13840
564,S993709882,20,1082220,2022-05-03,,,G016433991,Savana 1500,GMC,2000,16315
565,K824575389,10,567870,2022-03-06,,,J853207340,NSX,Acura,1996,61025
566,X963788906,18,1481994,2022-04-28,,,W801761065,530,BMW,2004,87919
567,E439214140,23,1818311,2022-12-24,,,R851582856,5000S,Audi,1985,27173
568,J084575704,22,2183984,2022-02-27,,,S231195922,GS,Lexus,2001,53909
569,R344978972,26,2409264,2022-07-24,,,H937158201,TL,Acura,2003,4984
570,P224250726,5,434975,2022-06-28,,,H867691070,Q5,Audi,2012,29326
571,L065474930,28,1101884,2022-07-22,,,Z506577709,Eurovan,Volkswagen,1999,19641
572,P223050040,30,140760,2022-06-19,,,H014938554,Neon,Plymouth,1995,76900
573,P569221521,14,749574,2022-12-23,,,N575791329,Mazdaspeed 3,Mazda,2007,87726
574,O903560195,4,222868,2022-06-13,,,E619219917,Prowler,Plymouth,1997,28137
575,I287499056,22,1888810,2022-01-30,,,P264867520,S80,Volvo,2000,30980
576,J195103144,4,355116,2022-07-14,,,Y492161934,Diamante,Mitsubishi,2003,46622
577,R538283140,16,201680,2022-12-19,,,U602075933,Explorer,Ford,2000,71539
578,S289337206,13,891462,2022-03-19,,,B045852184,Odyssey,Honda,2006,71035
579,H014938554,10,769000,2022-10-29,,,B657607458,QX56,Infiniti,2007,74730
580,P752852630,19,311049,2022-11-12,,,Z832300084,Intrigue,Oldsmobile,2000,36661
581,J289932404,15,587430,2022-12-12,,,P599487816,Astro,Chevrolet,1995,26582
582,X460676864,3,147597,2022-08-02,,,H931881461,New Yorker,Chrysler,1992,80125
583,S513001278,29,1879055,2022-09-07,,,X132421301,Pajero,Mitsubishi,1991,41684
584,B368741407,15,1434585,2022-11-17,,,K963308401,Dakota,Dodge,1997,72271
585,G263512451,3,241848,2022-11-02,,,Z703173108,Prowler,Plymouth,2000,27766
586,E710199367,5,461425,2022-06-27,,,G234999584,Park Avenue,Buick,2005,41274
587,B482485011,28,255864,2022-08-04,,,V549103886,Trooper,Isuzu,2002,66406
588,V584082770,16,55824,2022-08-08,,,V010582306,Touareg,Volkswagen,2003,74527
589,W036837189,2,10894,2022-08-05,,,E286975003,PT Cruiser,Chrysler,2008,61056
590,S493682362,14,477414,2022-08-26,,,D066878020,Montana,Pontiac,1999,66691
591,H529868855,26,2480062,2022-03-13,,,G940289043,Taurus,Ford,1996,70262
592,D697293609,23,521824,2022-06-14,,,E928878967,Dakota,Dodge,1998,84217
593,S466601896,7,317611,2022-08-14,,,K219569383,I,Infiniti,2001,90121
594,V466222140,10,722920,2022-04-17,,,R157835570,IS,Lexus,2008,73149
595,L043854502,29,2101224,2022-08-08,,,X723659441,Cavalier,Chevrolet,2004,90373
596,O482969425,18,744354,2022-11-03,,,A243637392,Acclaim,Plymouth,1992,22608
597,W648466726,19,1770743,2022-09-28,,,F650068521,Leone,Subaru,1985,40968
598,F033364800,14,171668,2022-10-20,,,V287532763,Pilot,Honda,2004,73934
599,P829129866,10,984910,2022-02-28,,,U900732201,Esprit Turbo,Lotus,1984,24526
600,G679706104,17,585259,2022-11-01,,,E084008933,Tahoe,Chevrolet,2009,60190
601,E650113547,8,381864,2022-01-18,,,X029654553,Seville,Cadillac,2001,18308
602,Z835518442,1,66823,2022-02-24,,,K410090627,Ciera,Oldsmobile,1992,23005
603,B340451218,2,23910,2022-08-03,,,Q150056441,Safari,GMC,1995,61707
604,H235118214,5,290405,2022-02-10,,,C122385066,Econoline E250,Ford,1997,93075
605,E212325485,21,1636908,2022-03-29,,,L527089852,tC,Scion,2012,75983
606,Z900456153,10,573990,2022-05-28,,,Y531854286,R-Class,Mercedes-Benz,2012,90406
607,G123356987,1,35524,2022-05-16,,,K173473136,S-Class,Mercedes-Benz,1985,19097
608,W481618149,12,251856,2022-03-25,,,T050210133,GLI,Volkswagen,2009,4980
609,T338673690,4,11532,2022-04-13,,,Y784340727,Discovery Series II,Land Rover,2000,11873
610,B547320719,15,276735,2022-06-20,,,Q275599011,Pacifica,Chrysler,2004,61299
611,T653263418,24,1118736,2022-05-14,,,C647998314,Grand Cherokee,Jeep,2012,83935
612,Z793212332,25,838675,2022-05-06,,,C824880525,G-Class,Mercedes-Benz,2011,15222
613,P829129866,7,689437,2022-05-28,,,Q837297985,QX,Infiniti,2006,7442
614,O126363356,2,27046,2022-05-22,,,F033364800,Venture,Chevrolet,2002,12262
615,X592842496,18,674406,2022-12-30,,,F524136742,Karif,Maserati,1989,18705
616,G328694289,16,816976,2022-08-30,,,J877656098,Continental GTC,Bentley,2012,89379
617,F054769969,7,397040,2022-03-15,,,V091858224,Truck,Mitsubishi,1990,13738
618,Q694083292,4,351620,2022-08-13,,,S082335241,X3,BMW,2005,76888
619,Q143926023,22,406494,2022-08-11,,,P672953430,STS-V,Cadillac,2008,6630
620,X581279438,3,222315,2022-09-22,,,Y296258282,Continental,Bentley,2012,94600
621,Q640027190,25,1106675,2022-11-19,,,P593405810,Eclipse,Mitsubishi,1995,56866
622,G791421681,14,1213744,2022-03-02,,,P335043999,Suburban 1500,Chevrolet,1998,37919
623,O106473515,20,365680,2022-06-12,,,X032925457,Impreza,Subaru,2005,96759
624,Y087442545,8,718800,2022-08-26,,,Z128252466,Cabriolet,Volkswagen,1998,40549
625,P264867520,28,867440,2022-03-29,,,B574722055,TT,Audi,2000,48516
626,Z545966983,23,1465491,2022-03-11,,,C985836169,Sonoma Club Coupe,GMC,1996,13622
627,H529868855,15,1430805,2022-06-03,,,Y897242345,rio,Volkswagen,1999,32421
628,E018566127,21,1115625,2022-06-23,,,J084606259,Cabriolet,Volkswagen,1996,51562
629,S426674954,4,114164,2022-11-21,,,A503624634,Bonneville,Pontiac,1985,20305
630,K157947778,21,2077383,2022-05-03,,,L555685191,Astro,Chevrolet,1997,64028
631,L826260140,9,259461,2022-04-25,,,U267427652,M-Class,Mercedes-Benz,2009,18372
632,H157917992,5,403835,2022-01-10,,,T394178361,Esprit,Lotus,1985,17350
633,N909404119,3,140862,2022-04-17,,,R838650702,Crown Victoria,Ford,2007,9879
634,M107246804,7,135366,2022-03-13,,,P044144927,M6,BMW,2008,6679
635,G820110350,21,1744596,2022-09-16,,,W398971070,Corsica,Chevrolet,1995,78122
636,O903560195,2,111434,2022-08-10,,,F694935149,B-Series,Mazda,2001,49547
637,T616019194,17,337042,2022-01-19,,,S729006635,ES,Lexus,2011,72936
638,O109792584,6,520920,2022-08-29,,,H669884465,Sable,Mercury,1992,31308
639,V145978884,17,254881,2022-10-09,,,N019674271,MX-5,Mazda,1993,19776
640,F377737243,4,234008,2022-09-21,,,F173852994,Sonata,Hyundai,2011,96011
641,T017774655,13,998296,2022-08-18,,,A844092346,MX-5,Mazda,1991,10126
